# WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
8.543589203742035787e-01 8.640459754339577803e-01 8.608169570807063797e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.640459754339577803e-01 8.737330304937119818e-01 8.672749937872091808e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.737330304937119818e-01 8.866491039067175839e-01 8.801910672002147829e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.866491039067175839e-01 8.995651773197231860e-01 8.931071406132203849e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.995651773197231860e-01 9.124812507327287880e-01 9.060232140262259870e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.124812507327287880e-01 9.253973241457343901e-01 9.189392874392315891e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.253973241457343901e-01 9.383133975587399922e-01 9.318553608522371912e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.383133975587399922e-01 9.512294709717455943e-01 9.447714342652427932e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.512294709717455943e-01 9.641455443847511964e-01 9.576875076782483953e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.641455443847511964e-01 9.770616177977567984e-01 9.706035810912539974e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.770616177977567984e-01 9.899776912107624005e-01 9.835196545042595995e-01 1.000000000000000000e+01 1.000000000000000000e+00
9.899776912107624005e-01 1.002893764623767892e+00 9.964357279172652015e-01 1.000000000000000000e+01 1.000000000000000000e+00
1.002893764623767892e+00 1.015809838036773494e+00 1.009351801330270693e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.015809838036773494e+00 1.031954929803030607e+00 1.022267874743276295e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.031954929803030607e+00 1.048100021569287721e+00 1.041641984862784920e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.048100021569287721e+00 1.064245113335544612e+00 1.054558058275790522e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.064245113335544612e+00 1.080390205101801504e+00 1.073932168395298703e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.080390205101801504e+00 1.096535296868058618e+00 1.086848241808304305e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.096535296868058618e+00 1.112680388634315731e+00 1.106222351927812930e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.112680388634315731e+00 1.128825480400572623e+00 1.119138425340818532e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.128825480400572623e+00 1.148199590520081026e+00 1.138512535460326713e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.148199590520081026e+00 1.164344682286338140e+00 1.157886645579835339e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.164344682286338140e+00 1.180489774052595031e+00 1.170802718992840941e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.180489774052595031e+00 1.199863884172103434e+00 1.190176829112349122e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.199863884172103434e+00 1.219237994291611837e+00 1.209550939231857747e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.219237994291611837e+00 1.238612104411120240e+00 1.228925049351365928e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.238612104411120240e+00 1.257986214530628644e+00 1.248299159470874553e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.257986214530628644e+00 1.274131306296885535e+00 1.267673269590382734e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.274131306296885535e+00 1.290276398063142649e+00 1.280589343003388336e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.290276398063142649e+00 1.309650508182651052e+00 1.299963453122896961e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.309650508182651052e+00 1.332253636655410745e+00 1.319337563242405142e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.332253636655410745e+00 1.354856765128170659e+00 1.345169710068416347e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.354856765128170659e+00 1.374230875247679062e+00 1.364543820187924972e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.374230875247679062e+00 1.393604985367187465e+00 1.383917930307433153e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.393604985367187465e+00 1.412979095486695869e+00 1.403292040426941778e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.412979095486695869e+00 1.432353205606204272e+00 1.422666150546449959e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.432353205606204272e+00 1.451727315725712675e+00 1.442040260665958584e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.451727315725712675e+00 1.471101425845221078e+00 1.461414370785466765e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.471101425845221078e+00 1.490475535964729481e+00 1.480788480904975390e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.490475535964729481e+00 1.509849646084237884e+00 1.500162591024483572e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.509849646084237884e+00 1.532452774556997799e+00 1.519536701143992197e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.532452774556997799e+00 1.555055903029757491e+00 1.545368847970003401e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.555055903029757491e+00 1.574430013149265895e+00 1.564742958089511582e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.574430013149265895e+00 1.593804123268774298e+00 1.584117068209020207e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.593804123268774298e+00 1.613178233388282701e+00 1.603491178328528388e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.613178233388282701e+00 1.632552343507791104e+00 1.622865288448037013e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.632552343507791104e+00 1.651926453627299507e+00 1.642239398567545194e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.651926453627299507e+00 1.674529582100059422e+00 1.661613508687053820e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.674529582100059422e+00 1.697132710572819114e+00 1.687445655513065024e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.697132710572819114e+00 1.716506820692327517e+00 1.706819765632573205e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.716506820692327517e+00 1.735880930811835920e+00 1.726193875752081830e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.735880930811835920e+00 1.755255040931344324e+00 1.745567985871590011e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.755255040931344324e+00 1.774629151050852727e+00 1.764942095991098636e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.774629151050852727e+00 1.794003261170361130e+00 1.784316206110606817e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.794003261170361130e+00 1.813377371289869533e+00 1.803690316230115442e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.813377371289869533e+00 1.832751481409377936e+00 1.823064426349623623e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.832751481409377936e+00 1.852125591528886339e+00 1.842438536469132249e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.852125591528886339e+00 1.871499701648394742e+00 1.861812646588640430e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.871499701648394742e+00 1.890873811767903145e+00 1.881186756708149055e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.890873811767903145e+00 1.910247921887411549e+00 1.900560866827657236e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.910247921887411549e+00 1.929622032006919952e+00 1.919934976947165861e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.929622032006919952e+00 1.948996142126428355e+00 1.939309087066674042e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.948996142126428355e+00 1.968370252245936758e+00 1.958683197186182667e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.968370252245936758e+00 1.987744362365445161e+00 1.978057307305690848e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.987744362365445161e+00 2.007118472484953564e+00 1.997431417425199474e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.007118472484953564e+00 2.023263564251210234e+00 2.016805527544707655e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.023263564251210234e+00 2.039408656017467791e+00 2.029721600957713257e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.039408656017467791e+00 2.058782766136975972e+00 2.049095711077221882e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.058782766136975972e+00 2.078156876256484153e+00 2.068469821196730063e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.078156876256484153e+00 2.097530986375992779e+00 2.087843931316238688e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.097530986375992779e+00 2.116905096495501404e+00 2.107218041435746869e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.116905096495501404e+00 2.133050188261758073e+00 2.126592151555255494e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.133050188261758073e+00 2.149195280028015187e+00 2.139508224968261096e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.149195280028015187e+00 2.168569390147523812e+00 2.158882335087769277e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.168569390147523812e+00 2.187943500267031993e+00 2.178256445207277903e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.187943500267031993e+00 2.204088592033288663e+00 2.197630555326786084e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.204088592033288663e+00 2.220233683799546220e+00 2.210546628739791686e+00 1.000000000000000000e+01 1.000000000000000000e+00
